Acción,Fecha Base,Fecha Proyección (+7 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
AUTLANB.MX,2026-08-12,2026-08-21,Empate c/ Red Base -> LSTM,< 50%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Sin Datos ❓,32.78,18.76,2.6,Baja 🟢 (32.8%)
ORBIA.MX,2026-08-12,2026-08-21,Red Base -> LSTM,80% - 89.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,39.4,19.81,3.94,Media 🟡 (39.4%)
MELI,2026-08-12,2026-08-21,Red Base -> Cópulas,80% - 89.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (5/6),Neutro ⚪,39.29,35.03,3.24,Media 🟡 (39.3%)
BIMBOA.MX,2026-08-12,2026-08-21,Red Base -> LSTM,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,29.76,17.72,2.88,Baja 🟢 (29.8%)
GCC,2026-08-12,2026-08-21,Red Base -> LSTM,70% - 79.9%,Sube (+),Baja (-),Baja (-),Sube (+),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Sin Datos ❓,16.37,13.5,0.85,Baja 🟢 (16.4%)
IONQ,2026-08-12,2026-08-21,Meta Global RL,70% - 79.9%,Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,107.32,86.06,8.38,Alta 🔴 (107.3%)
BABA,2026-08-12,2026-08-21,Red Base -> Cópulas,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,46.72,45.86,2.72,Media 🟡 (46.7%)
GOOGL,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,70% - 79.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,32.91,43.93,2.54,Baja 🟢 (32.9%)
DAL,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,46.72,32.58,3.46,Media 🟡 (46.7%)
VRT,2026-08-12,2026-08-21,Red Base -> Estándar,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),VENDER 🔴,🟢 Consenso,Optimista 🟢,71.76,81.29,5.25,Alta 🔴 (71.8%)
CEMEXCPO.MX,2026-08-12,2026-08-21,Red Base -> LSTM,60% - 69.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,33.61,23.77,2.89,Baja 🟢 (33.6%)
AC.MX,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Sube (+),Baja (-),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,24.11,20.39,2.61,Baja 🟢 (24.1%)
ZS,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,57.43,47.35,3.83,Media 🟡 (57.4%)
Uber,2026-08-12,2026-08-21,Red Base -> Cópulas,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,37.68,42.69,3.18,Media 🟡 (37.7%)
META,2026-08-12,2026-08-21,"Red Base -> Estándar, Todo Portafolio",60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,39.92,54.95,2.72,Media 🟡 (39.9%)
MFRISCOA-1.MX,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Sin Datos ❓,64.02,48.3,4.38,Alta 🔴 (64.0%)
BBAI,2026-08-12,2026-08-21,Empate c/ Red Base -> LSTM,60% - 69.9%,Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,107.53,65.98,8.8,Alta 🔴 (107.5%)
PATH,2026-08-12,2026-08-21,Red Base -> LSTM,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,59.97,63.43,4.9,Media 🟡 (60.0%)
ANET,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,58.95,63.19,4.12,Media 🟡 (59.0%)
CUERVO.MX,2026-08-12,2026-08-21,Red Base -> LSTM,60% - 69.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,35.9,26.05,3.64,Media 🟡 (35.9%)
MCO,2026-08-12,2026-08-21,Red Base -> Cópulas,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),VENDER 🔴,🟢 Consenso,Neutro ⚪,28.86,29.8,2.23,Baja 🟢 (28.9%)
GMEXICOB.MX,2026-08-12,2026-08-21,Red Base -> LSTM,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,36.2,27.62,3.3,Media 🟡 (36.2%)
