Acción,Fecha Base,Fecha Proyección (+7 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
GFNORTEO.MX,2026-08-18,2026-08-27,"Empate c/ Red Base -> Estándar, Cópulas, Todo Portafolio, LSTM",< 50%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,28.46,25.55,2.67,Baja 🟢 (28.5%)
GTLB,2026-08-18,2026-08-27,Meta Global RL,< 50%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,59.91,59.39,4.87,Media 🟡 (59.9%)
BABA,2026-08-18,2026-08-27,"Red Base -> Cópulas, Todo Portafolio",< 50%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,46.59,46.27,2.71,Media 🟡 (46.6%)
ORBIA.MX,2026-08-18,2026-08-27,Empate c/ Red Base -> LSTM,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,39.32,21.97,3.92,Media 🟡 (39.3%)
BIMBOA.MX,2026-08-18,2026-08-27,Red Base -> LSTM,70% - 79.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,29.79,20.74,2.88,Baja 🟢 (29.8%)
GCC,2026-08-18,2026-08-27,Red Base -> LSTM,70% - 79.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Pesimista 🔴,16.37,13.27,0.85,Baja 🟢 (16.4%)
CUERVO.MX,2026-08-18,2026-08-27,Red Base -> LSTM,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,35.8,27.34,3.63,Media 🟡 (35.8%)
AC.MX,2026-08-18,2026-08-27,Votación Mayoritaria,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),VENDER 🔴,🟢 Consenso,Neutro ⚪,24.0,20.39,2.59,Baja 🟢 (24.0%)
AXP,2026-08-18,2026-08-27,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,30.26,27.43,2.25,Baja 🟢 (30.3%)
ANET,2026-08-18,2026-08-27,Red Base -> LSTM,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,58.88,59.35,4.11,Media 🟡 (58.9%)
