Acción,Fecha Base,Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Recomendación,Alerta_Divergencia,Sentimiento_Global,Nivel_Volatilidad,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %)
IONQ,2026-08-18,Meta Global RL,80% - 89.9%,VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,Alta 🔴 (106.9%),106.92,84.28,8.36
ZS,2026-08-18,Red Base -> Todo Portafolio,70% - 79.9%,VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,Media 🟡 (57.4%),57.38,49.6,3.83
ORBIA.MX,2026-08-18,Red Base -> LSTM,70% - 79.9%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Media 🟡 (39.3%),39.32,21.97,3.92
GCC,2026-08-18,Red Base -> Cópulas,70% - 79.9%,VENDER 🔴,🟢 Consenso,Pesimista 🔴,Baja 🟢 (16.4%),16.37,13.27,0.85
MELI,2026-08-18,Empate c/ Red Base -> Estándar,70% - 79.9%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Media 🟡 (39.2%),39.19,34.85,3.24
ANET,2026-08-18,Red Base -> Cópulas,70% - 79.9%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Media 🟡 (58.9%),58.88,59.35,4.11
BBAI,2026-08-18,Meta Global RL,60% - 69.9%,VENDER 🔴,🟢 Consenso,Optimista 🟢,Alta 🔴 (107.1%),107.06,65.53,8.76
GAPB.MX,2026-08-18,Votación Mayoritaria,60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Baja 🟢 (30.0%),29.99,25.4,3.29
CHDRAUIB.MX,2026-08-18,Red Base -> Cópulas,60% - 69.9%,VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,Baja 🟢 (23.9%),23.85,15.22,2.47
BOLSAA.MX,2026-08-18,Empate c/ Red Base -> LSTM,60% - 69.9%,VENDER 🔴,🟢 Consenso,Optimista 🟢,Baja 🟢 (28.7%),28.74,26.99,2.84
BIMBOA.MX,2026-08-18,"Red Base -> Todo Portafolio, LSTM",60% - 69.9%,VENDER 🔴,🟢 Consenso,Optimista 🟢,Baja 🟢 (29.8%),29.79,20.74,2.88
VRT,2026-08-18,Red Base -> Estándar,60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Neutro ⚪,Alta 🔴 (71.7%),71.66,78.17,5.23
RGTI,2026-08-18,"Empate c/ Red Base -> Todo Portafolio, LSTM",60% - 69.9%,VENDER 🔴,🟢 Consenso,Neutro ⚪,Alta 🔴 (128.9%),128.95,87.85,9.36
PATH,2026-08-18,Red Base -> Cópulas,60% - 69.9%,COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,Alta 🔴 (60.2%),60.21,68.11,4.92
GOOGL,2026-08-18,Empate c/ Red Base -> Todo Portafolio,60% - 69.9%,VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,Baja 🟢 (32.8%),32.76,43.49,2.53
FRCOY,2026-08-18,Red Base -> Todo Portafolio,60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Baja 🟢 (34.2%),34.18,39.35,2.69
SNPS,2026-08-18,Votación Mayoritaria,60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Neutro ⚪,Media 🟡 (55.1%),55.08,39.68,3.37
BABA,2026-08-18,Red Base -> Todo Portafolio,60% - 69.9%,VENDER 🔴,🟢 Consenso,Neutro ⚪,Media 🟡 (46.6%),46.59,46.27,2.71
AC.MX,2026-08-18,Meta Global RL,60% - 69.9%,VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,Baja 🟢 (24.0%),24.0,20.39,2.59
AXP,2026-08-18,Red Base -> Estándar,60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Neutro ⚪,Baja 🟢 (30.3%),30.26,27.43,2.25
FRSH,2026-08-18,"Empate c/ Red Base -> Estándar, Cópulas",60% - 69.9%,VENDER 🔴,🟢 Consenso,Optimista 🟢,Media 🟡 (47.6%),47.57,53.31,3.99
META,2026-08-18,Red Base -> Todo Portafolio,60% - 69.9%,COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,Media 🟡 (40.0%),40.05,48.71,2.73
MCO,2026-08-18,"Empate c/ Red Base -> Estándar, LSTM",60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Neutro ⚪,Baja 🟢 (28.8%),28.84,26.12,2.23
ALPEKA.MX,2026-08-18,Red Base -> LSTM,60% - 69.9%,COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,Media 🟡 (40.6%),40.57,20.34,3.9
AUTLANB.MX,2026-08-18,"Empate c/ Red Base -> Cópulas, Todo Portafolio",60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Sin Datos ❓,Baja 🟢 (32.7%),32.66,19.47,2.59
CEMEXCPO.MX,2026-08-18,"Empate c/ Red Base -> Estándar, Cópulas, LSTM",60% - 69.9%,COMPRAR 🟢,🟢 Consenso,Neutro ⚪,Baja 🟢 (33.6%),33.61,25.31,2.88
ARM,2026-08-18,Meta Global RL,60% - 69.9%,VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,Alta 🔴 (72.1%),72.1,88.92,5.17
